iter	Passed	Remaining
446	17963	22223
447	17999	22178
448	18046	22146
449	18086	22105
450	18137	22078
451	18194	22059
452	18235	22019
453	18297	22005
454	18376	22011
455	18423	21979
456	18480	21958
457	18569	21975
458	18604	21928
459	18682	21931
460	18728	21897
461	18782	21872
462	18815	21822
463	18871	21799
464	18916	21764
465	18954	21720
466	18997	21682
467	19050	21655
468	19083	21606
469	19128	21570
470	19163	21523
471	19204	21482
472	19234	21430
473	19273	21387
474	19330	21364
475	19367	21320
476	19414	21286
477	19470	21262
478	19499	21209
479	19549	21179
480	19584	21132
481	19638	21105
482	19714	21102
483	19774	21082
484	19816	21042
485	19876	21021
486	19920	20983
487	19960	20941
488	20011	20912
489	20068	20887
490	20111	20849
491	20141	20796
492	20189	20762
493	20230	20722
494	20266	20676
495	20311	20639
496	20361	20606
497	20406	20570
498	20453	20535
499	20482	20482
500	20513	20431
501	20573	20409
502	20612	20366
503	20657	20329
504	20706	20296
505	20736	20244
506	20796	20222
507	20828	20172
508	20866	20128
509	20904	20084
510	20950	20048
511	20988	20004
512	21031	19965
513	21060	19913
514	21095	19866
515	21126	19816
516	21165	19773
517	21207	19733
518	21239	19684
519	21269	19633
520	21307	19589
521	21345	19546
522	21383	19502
523	21409	19448
524	21450	19407
525	21499	19374
526	21527	19321
527	21565	19278
528	21607	19238
529	21643	19193
530	21670	19139
531	21708	19096
532	21755	19061
533	21811	19033
534	21847	18988
535	21889	18949
536	21928	18906
537	21968	18865
538	22010	18825
539	22077	18806
540	22152	18794
541	22210	18768
542	22241	18719
543	22294	18688
544	22341	18651
545	22381	18609
546	22426	18572
547	22467	18531
548	22508	18490
549	22548	18448
550	22589	18407
551	22630	18366
552	22672	18326
553	22740	18307
554	22787	18270
555	22835	18235
556	22882	18198
557	22971	18196
558	23049	18183
559	23100	18150
560	23162	18125
561	23228	18103
562	23273	18064
563	23304	18015
564	23378	17999
565	23451	17982
566	23529	17969
567	23582	17935
568	23641	17907
569	23680	17864
570	23717	17819
571	23765	17782
572	23847	17771
573	23911	17746
574	23956	17706
575	23999	17666
576	24043	17626
577	24097	17593
578	24137	17550
579	24192	17518
580	24247	17486
581	24289	17445
582	24329	17402
583	24394	17376
584	24445	17341
585	24493	17303
586	24539	17265
587	24584	17225
588	24632	17188
589	24699	17164
590	24778	17147
591	24831	17113
592	24877	17074
593	24921	17034
594	24964	16992
595	25010	16953
596	25059	16916
597	25115	16883
598	25162	16845
599	25215	16810
600	25261	16771
601	25312	16734
602	25356	16693
603	25406	16657
604	25446	16613
605	25473	16561
606	25536	16533
607	25576	16490
608	25630	16455
609	25675	16415
610	25727	16379
611	25765	16334
612	25814	16297
613	25857	16255
614	25894	16210
615	25946	16174
616	25980	16127
617	26026	16087
618	26068	16045
619	26132	16016
620	26184	15980
621	26237	15945
622	26289	15908
623	26332	15867
624	26373	15824
625	26422	15786
626	26459	15740
627	26520	15709
628	26570	15672
629	26634	15642
630	26694	15610
631	26738	15569
632	26782	15527
633	26837	15493
634	26906	15465
635	26961	15430
636	27012	15393
637	27074	15362
638	27139	15332
639	27215	15308
640	27276	15276
641	27317	15232
642	27364	15192
643	27411	15152
644	27447	15106
645	27473	15054
646	27513	15011
647	27556	14969
648	27619	14937
649	27664	14896
650	27699	14849
651	27736	14804
652	27765	14754
653	27804	14710
654	27844	14666
655	27881	14620
656	27919	14575
657	27959	14532
658	27989	14483
659	28046	14448
660	28072	14397
661	28104	14349
662	28149	14308
663	28177	14258
664	28210	14211
665	28260	14172
666	28298	14128
667	28352	14091
668	28390	14046
669	28443	14009
670	28487	13967
671	28545	13932
672	28574	13883
673	28602	13834
674	28638	13788
675	28673	13743
676	28699	13692
677	28746	13652
678	28771	13601
679	28820	13562
680	28864	13521
681	28884	13468
682	28933	13428
683	28963	13380
684	28995	13333
685	29031	13288
686	29077	13247
687	29110	13201
688	29150	13157
689	29181	13110
690	29205	13060
691	29234	13011
692	29258	12961
693	29287	12913
694	29328	12870
695	29370	12828
696	29398	12780
697	29434	12735
698	29462	12686
699	29490	12638
700	29526	12593
701	29553	12545
702	29579	12496
703	29603	12446
704	29647	12405
705	29684	12361
706	29714	12314
707	29755	12272
708	29785	12225
709	29826	12182
710	29858	12136
711	29888	12089
712	29929	12047
713	29956	11999
714	29986	11952
715	30026	11909
716	30049	11860
717	30089	11817
718	30117	11770
719	30181	11737
720	30239	11701
721	30282	11660
722	30328	11619
723	30379	11581
724	30423	11539
725	30461	11496
726	30506	11455
727	30528	11406
728	30579	11367
729	30612	11322
730	30653	11280
731	30696	11238
732	30738	11196
733	30781	11155
734	30823	11113
735	30876	11075
736	30922	11034
737	30963	10992
738	31010	10952
739	31060	10913
740	31119	10877
741	31178	10840
742	31224	10800
743	31263	10757
744	31288	10709
745	31326	10666
746	31373	10625
747	31416	10584
748	31453	10540
749	31488	10496
750	31518	10450
751	31551	10405
752	31583	10359
753	31610	10313
754	31647	10269
755	31697	10230
756	31747	10190
757	31783	10147
758	31819	10103
759	31850	10058
760	31898	10018
761	31979	9988
762	32010	9943
763	32038	9896
764	32078	9854
765	32117	9811
766	32156	9768
767	32191	9724
768	32236	9683
769	32267	9638
770	32300	9593
771	32327	9547
772	32363	9503
773	32407	9462
774	32446	9419
775	32496	9380
776	32549	9341
777	32587	9298
778	32648	9262
779	32684	9218
780	32717	9174
781	32744	9128
782	32780	9084
783	32810	9039
784	32842	8995
785	32873	8950
786	32906	8906
787	32950	8864
788	32979	8819
789	33011	8775
790	33057	8734
791	33101	8693
792	33145	8652
793	33184	8609
794	33225	8567
795	33261	8524
796	33306	8483
797	33341	8439
798	33376	8396
799	33405	8351
800	33434	8306
801	33482	8266
802	33539	8228
803	33580	8186
804	33611	8141
805	33644	8097
806	33673	8053
807	33698	8007
808	33737	7965
809	33769	7921
810	33799	7876
811	33823	7830
812	33859	7788
813	33891	7744
814	33928	7701
815	33957	7657
816	33992	7614
817	34040	7573
818	34076	7530
819	34106	7486
820	34139	7443
821	34170	7399
822	34220	7359
823	34252	7316
824	34279	7271
825	34322	7230
826	34345	7184
827	34374	7140
828	34419	7099
829	34447	7055
830	34472	7010
831	34521	6970
832	34541	6924
833	34573	6881
834	34601	6837
835	34640	6795
836	34684	6754
837	34726	6713
838	34755	6669
839	34791	6626
840	34824	6584
841	34856	6540
842	34889	6497
843	34928	6455
844	34953	6411
845	34995	6370
846	35042	6329
847	35072	6286
848	35120	6246
849	35159	6204
850	35192	6161
851	35222	6118
852	35246	6074
853	35266	6029
854	35293	5985
855	35321	5942
856	35347	5898
857	35372	5854
858	35393	5809
859	35419	5765
860	35444	5722
861	35482	5680
862	35514	5637
863	35535	5593
864	35559	5549
865	35584	5506
866	35610	5462
867	35633	5418
868	35654	5374
869	35677	5331
870	35701	5287
871	35728	5244
872	35753	5201
873	35770	5156
874	35793	5113
875	35821	5070
876	35840	5026
877	35862	4983
878	35887	4940
879	35916	4897
880	35934	4853
881	35952	4809
882	35974	4766
883	35991	4722
884	36015	4680
885	36034	4636
886	36052	4592
887	36072	4549
888	36089	4506
889	36112	4463
890	36132	4420
891	36152	4377
892	36174	4334
893	36195	4291
894	36217	4248
895	36236	4206
896	36257	4163
897	36277	4120
898	36308	4079
899	36345	4038
900	36379	3997
901	36402	3955
902	36421	3912
903	36437	3869
904	36455	3826
905	36474	3784
906	36497	3742
907	36513	3699
908	36531	3657
909	36552	3615
910	36569	3572
911	36593	3530
912	36612	3488
913	36637	3447
914	36664	3406
915	36698	3365
916	36719	3323
917	36749	3282
918	36773	3241
919	36803	3200
920	36828	3159
921	36851	3117
922	36868	3075
923	36893	3034
924	36910	2992
925	36934	2951
926	36955	2910
927	36979	2869
928	36999	2827
929	37019	2786
930	37041	2745
931	37064	2704
932	37086	2663
933	37104	2621
934	37125	2580
935	37144	2539
936	37166	2498
937	37187	2458
938	37210	2417
939	37239	2376
940	37257	2336
941	37275	2295
942	37297	2254
943	37317	2213
944	37337	2173
945	37354	2132
946	37367	2091
947	37382	2050
948	37397	2009
949	37411	1969
950	37433	1928
951	37453	1888
952	37467	1847
953	37488	1807
954	37502	1767
955	37520	1726
956	37535	1686
957	37552	1646
958	37568	1606
959	37586	1566
960	37602	1526
961	37623	1486
962	37641	1446
963	37659	1406
964	37680	1366
965	37695	1326
966	37713	1287
967	37729	1247
968	37746	1207
969	37762	1167
970	37784	1128
971	37801	1088
972	37818	1049
973	37834	1009
974	37850	970
975	37863	931
976	37875	891
977	37898	852
978	37921	813
979	37948	774
980	37977	735
981	37999	696
982	38023	657
983	38038	618
984	38051	579
985	38067	540
986	38080	501
987	38090	462
988	38101	423
989	38119	385
990	38131	346
991	38143	307
992	38153	268
993	38173	230
994	38184	191
995	38195	153
996	38205	114
997	38219	76
998	38230	38
999	38240	0
