iter	MultiClass
220	0.6942696055
221	0.6932834712
222	0.6922516192
223	0.6912717871
224	0.6897518629
225	0.6888116587
226	0.6870688265
227	0.6852309887
228	0.6844413057
229	0.6826156161
230	0.6808787024
231	0.6801925134
232	0.67884801
233	0.6780601742
234	0.6767745309
235	0.6761414874
236	0.675072579
237	0.6742996925
238	0.67367777
239	0.672123326
240	0.6705175586
241	0.6697043715
242	0.6684070584
243	0.6674078344
244	0.66600371
245	0.6644794157
246	0.6638170602
247	0.6631679861
248	0.6618279033
249	0.6608338628
250	0.659288471
251	0.6580686775
252	0.6560859108
253	0.6552124599
254	0.6541073917
255	0.6537999213
256	0.6523361237
257	0.6512603706
258	0.6507423302
259	0.6494785647
260	0.6483734253
261	0.647733304
262	0.6465960002
263	0.6455451911
264	0.6443940173
265	0.6431816069
266	0.6416650867
267	0.6409188153
268	0.640002846
269	0.6392150923
270	0.6383110929
271	0.6371119549
272	0.6361557109
273	0.6351904098
274	0.6341698283
275	0.6335503037
276	0.6331780222
277	0.6325182757
278	0.6316627713
279	0.6297510407
280	0.6283752862
281	0.627298461
282	0.6262067585
283	0.624976923
284	0.6237443766
285	0.6227574192
286	0.6209879729
287	0.6196431395
288	0.6179110181
289	0.6172844968
290	0.6160743947
291	0.6151195544
292	0.6141432949
293	0.6131819144
294	0.61192304
295	0.6114783769
296	0.6107510994
297	0.609512371
298	0.6085671746
299	0.607115571
300	0.6058425489
301	0.6047403687
302	0.6041790505
303	0.6033855086
304	0.6022723613
305	0.6019302902
306	0.6011132665
307	0.6006345839
308	0.5997375139
309	0.5987437332
310	0.5977434991
311	0.5969167952
312	0.5959810458
313	0.5950050496
314	0.5944122716
315	0.5937122186
316	0.5922387128
317	0.5915906809
318	0.5903224853
319	0.5890748149
320	0.588106523
321	0.587321	0.58322	0.586322	0.58323	0.584323	0.58324	0.584324	0.58325	0.5839355494
326	0.5823443449
327	0.5806940516
328	0.5787105712
329	0.5779542189
330	0.5765824216
331	0.575545705
332	0.5742691647
333	0.573326032
334	0.5729801266
335	0.5722181083
336	0.5712927134
337	0.5700059619
338	0.5693952541
339	0.5686881028
340	0.5677272114
341	0.5669348779
342	0.566411419
343	0.5652173928
344	0.5648678183
345	0.5644098765
346	0.5626586696
347	0.561502341
348	0.5608914724
349	0.5601692431
350	0.5595494585
351	0.5586910184
352	0.5577867886
353	0.5574137631
354	0.5563264157
355	0.5556021528
356	0.5548865832
357	0.5538587224
358	0.5527549657
359	0.5521067988
360	0.5510497449
361	0.5503654213
362	0.5494084834
363	0.5488526613
364	0.5481032958
365	0.547121095
366	0.5460096961
367	0.5450656795
368	0.5444209579
369	0.5426282858
370	0.5415039294
371	0.5407772829
372	0.5401946393
373	0.5394745762
374	0.5386147674
375	0.5377582095
376	0.5373920033
377	0.5364915314
378	0.5355679844
379	0.5349543952
380	0.5341400555
381	0.5335412354
382	0.5327628353
383	0.5322646485
384	0.5309402662
385	0.5304036051
386	0.5294837734
387	0.5289487893
388	0.5282272744
389	0.5273770916
390	0.5264052336
391	0.5256101364
392	0.5241283195
393	0.5231373748
394	0.5223848773
395	0.5217960886
396	0.5206193549
397	0.5199464509
398	0.5192343747
399	0.5187891999
400	0.5178120192
401	0.5173389133
402	0.5161759304
403	0.5150012075
404	0.5141595246
405	0.5134610432
406	0.5122496218
407	0.5107264454
408	0.509917911
409	0.5088588573
410	0.507973234
411	0.5073238791
412	0.5067116294
413	0.506089219
414	0.5056619919
415	0.504891954
416	0.5041012068
417	0.503218895
418	0.5026756922
419	0.5018998579
420	0.5012300255
421	0.5005252568
422	0.499630329
423	0.4985114313
424	0.4978958983
425	0.4974462151
426	0.4971261858
427	0.4961873682
428	0.4951831113
429	0.4945872084
430	0.4936487597
431	0.4931772235
432	0.4926525962
433	0.4921269638
434	0.4914865943
435	0.4908245396
436	0.4904308413
437	0.4899212655
438	0.4888860529
439	0.4886044283
440	0.4882189746
441	0.4873724352
442	0.4863508096
443	0.4856183906
444	0.4850152521
445	0.4844105559
446	0.4836560668
447	0.4832007198
448	0.4823069682
449	0.4818594147
450	0.4812256199
451	0.4805856852
452	0.4799315233
453	0.4785021886
454	0.4778936292
455	0.4771975034
456	0.4764867274
457	0.4756983214
458	0.4749133273
459	0.4737960366
460	0.4728478064
461	0.4724210128
462	0.4719442181
463	0.4713090537
464	0.4707791126
465	0.4698174849
466	0.4689053357
467	0.4682248022
468	0.4675754993
469	0.4672894108
470	0.4664569249
471	0.4658592339
472	0.4653198451
473	0.4644839791
474	0.463939761
475	0.4632490526
476	0.4623827309
477	0.4618401601
478	0.4615301282
479	0.4604569815
480	0.4596757873
481	0.4589046345
482	0.4582992809
483	0.4573664504
484	0.4564476144
485	0.4556218543
486	0.4550262307
487	0.4544805334
488	0.4535132129
489	0.4529422695
490	0.4525471483
491	0.4520955161
492	0.4513524105
493	0.4505344312
494	0.4496548276
495	0.4492493151
496	0.4489332543
497	0.4484252068
498	0.4472611774
499	0.446528272
500	0.4453046737
501	0.4446037788
502	0.4439861404
503	0.4434615547
504	0.4429052066
505	0.442695713
506	0.4418296503
507	0.4410019638
508	0.4402400917
509	0.4397216022
510	0.4388471446
511	0.4385785763
512	0.4380739851
513	0.4375637688
514	0.4370865844
515	0.4362098996
516	0.4356069994
517	0.435319911
518	0.4349443586
519	0.4344144815
520	0.4338351165
521	0.4334730482
522	0.4331357447
523	0.4323247772
524	0.4320087043
525	0.4315617349
526	0.4303555135
527	0.429573279
528	0.4290597124
529	0.4283224831
530	0.427755591
531	0.4272164096
532	0.426629614
533	0.4256284079
534	0.4254459364
535	0.4250908335
536	0.4243674416
537	0.4240650044
538	0.4234924458
539	0.4226434225
540	0.4222925772
541	0.4217012833
542	0.4213321339
543	0.4203764896
544	0.4194111107
545	0.4186781391
546	0.4181483997
547	0.4177602348
548	0.417285607
549	0.4168474025
550	0.4160143203
551	0.4153761069
552	0.4146761905
553	0.4139841353
554	0.4134273966
555	0.4126983056
556	0.4119382849
557	0.4117322237
558	0.4114418496
559	0.41058257
560	0.4101634033
561	0.40975942
562	0.4087844597
563	0.4082647376
564	0.4077780102
565	0.4073228973
566	0.4069215358
567	0.40641506
568	0.4058384336
569	0.4052892446
570	0.404931766
571	0.4042178455
572	0.40352068
573	0.4030329421
574	0.4026085686
575	0.4020315427
576	0.401096217
577	0.4006586043
578	0.4003529739
579	0.3995203756
580	0.3990120621
581	0.3985529824
582	0.3979190473
583	0.3975839798
584	0.3973158461
585	0.3970924512
586	0.3966683232
587	0.3963500161
588	0.3958560193
589	0.3950147214
590	0.3943912438
591	0.3937127724
592	0.3932317528
593	0.3927728876
594	0.3922612023
595	0.3917250032
596	0.3912406372
597	0.3906334775
598	0.3900800872
599	0.3895896667
600	0.3890211116
601	0.38884504
602	0.388210377
603	0.3877244302
604	0.3874578677
605	0.3869285882
606	0.3862722133
607	0.3861138139
608	0.3855865292
609	0.385089816
610	0.3847075455
611	0.3843480683
612	0.3836743391
613	0.3828477435
614	0.3825565786
615	0.3819939076
616	0.3814349048
617	0.3807899127
618	0.3802449234
619	0.3797046109
620	0.3794169877
621	0.3788628473
622	0.3783121735
623	0.3778706083
624	0.3774342209
625	0.3772731106
626	0.3769729937
627	0.3762603516
628	0.3755737324
629	0.3751085362
630	0.37456182
631	0.374237003
632	0.3739088968
633	0.3734942055
634	0.3730428437
635	0.3726617622
636	0.371945163
637	0.3715992545
638	0.3710886179
639	0.3705484205
640	0.3696600952
641	0.3692348988
642	0.3689805537
643	0.3687587915
644	0.3683317245
645	0.3679034945
646	0.3672771911
647	0.3665533385
648	0.3660152912
649	0.3657721323
650	0.3653524666
651	0.364957582
652	0.3642073326
653	0.3639301491
654	0.3635380637
655	0.3629183492
656	0.3626342581
657	0.3621802527
658	0.3618240747
659	0.3611060254
660	0.3606003227
661	0.3601378391
662	0.3597748974
663	0.3592595636
664	0.3590287584
665	0.3588636398
666	0.3583303079
667	0.3579659961
668	0.35771441
669	0.3573936561
670	0.356919603
671	0.3566478805
672	0.3559620395
673	0.3553795823
674	0.3549265431
675	0.3545621523
676	0.354069786
677	0.3537919505
678	0.3532366171
679	0.3525254932
680	0.3520219332
681	0.3513609933
682	0.3510665065
683	0.3505576002
684	0.3500912952
685	0.3495814342
686	0.349150884
687	0.3488223094
688	0.348496343
689	0.3481319751
690	0.3476158464
691	0.3471633617
692	0.346632131
693	0.3463694852
694	0.3460957418
695	0.345406783
696	0.3449170686
697	0.3446996407
698	0.3442612322
699	0.344011958
700	0.3437193162
701	0.3432782251
702	0.3427455292
703	0.3423681887
704	0.3419192091
705	0.3414864502
706	0.3409912019
707	0.3405157847
708	0.3397751081
709	0.3391996318
710	0.3386475909
711	0.3382928837
712	0.3377221943
713	0.3374201879
714	0.3369072201
715	0.3365684652
716	0.3360526617
717	0.3356080294
718	0.3353094231
719	0.3349359429
720	0.3345026777
721	0.3341831536
722	0.3339163801
723	0.3335659129
724	0.3330219629
725	0.3326991903
726	0.3322313069
727	0.3319033452
728	0.3315666792
729	0.3311817593
730	0.3305305257
731	0.3298730226
732	0.3294798583
733	0.3291201881
734	0.3287741184
735	0.3285835879
736	0.3282089334
737	0.3278599771
738	0.3274949349
739	0.3272547383
740	0.3267556478
741	0.3263971638
742	0.325881571
743	0.3255393034
744	0.3250674317
745	0.3247645082
746	0.324252387
747	0.3239707923
748	0.3234155733
749	0.3231327327
750	0.322552937
751	0.3220369168
752	0.3214496578
753	0.3211429494
754	0.3208514367
755	0.3204692817
756	0.320101116
757	0.3194418936
758	0.3189199133
759	0.3186236796
760	0.3182547206
761	0.3178105731
762	0.3174787926
763	0.3170759598
764	0.3166316383
765	0.316446881
766	0.3158218912
767	0.315361081
768	0.315005951
769	0.3146730005
770	0.3144192911
771	0.3140233254
772	0.3137779021
773	0.3133187697
774	0.3129536145
775	0.3124726816
776	0.312009063
777	0.3116686926
778	0.3113222721
779	0.3112068343
780	0.3109933355
781	0.3103215927
782	0.3099352828
783	0.3095912118
784	0.3094185705
785	0.3087467383
786	0.3083333925
787	0.3081690916
788	0.3079726749
789	0.3077118969
790	0.3073734215
791	0.3071560483
792	0.3066810002
793	0.3062676393
794	0.30574026
795	0.3051549903
796	0.3045342447
797	0.303871983
798	0.3035283796
799	0.3030007814
800	0.3025000715
801	0.3021887145
802	0.3017819801
803	0.3013405364
804	0.3010238993
805	0.300525448
806	0.3002299398
807	0.2997754857
808	0.2994806112
809	0.2991292848
810	0.2988509445
811	0.2984849093
812	0.2981941103
813	0.2979265508
814	0.2974755577
815	0.2971609744
816	0.2965853126
817	0.296125891
818	0.295858897
819	0.2955704907
820	0.2954254166
821	0.2952284494
822	0.2947699456
823	0.2942970248
824	0.294103991
825	0.2939511874
826	0.2936705173
827	0.2932292891
828	0.2929115119
829	0.2926386775
830	0.2923468845
831	0.2921222035
832	0.2916796917
833	0.2915338245
834	0.2913273885
835	0.290838651
836	0.2904163511
837	0.2899963007
838	0.2895166583
839	0.2890057249
840	0.288729307
841	0.2883398895
842	0.2879778095
843	0.2875180651
844	0.2871444651
845	0.286487616
846	0.2859701105
847	0.2854720179
848	0.2853722048
849	0.2852596001
850	0.2850824881
851	0.2847516635
852	0.2845104258
853	0.2843539955
854	0.2841301622
855	0.2839193075
856	0.2836965564
857	0.2832190219
858	0.2829180296
859	0.2827140367
860	0.2825196389
861	0.2820064832
862	0.2816342508
863	0.2813054358
864	0.2809018781
865	0.2807077194
866	0.2801512699
867	0.279760795
868	0.2795293044
869	0.2790159099
870	0.2787761553
871	0.2784265295
872	0.2780538024
873	0.2776205943
874	0.277155861
875	0.2769214233
876	0.2764425053
877	0.2761998308
878	0.275823952
879	0.2754641224
880	0.2752679595
881	0.2750860453
882	0.2744754968
883	0.2741660703
884	0.2738492391
885	0.2736132053
886	0.27335744
887	0.273056298
888	0.2728877569
889	0.2727623309
890	0.2723623004
891	0.2719779276
892	0.2717136468
893	0.2714254721
894	0.2709618068
895	0.2707142873
896	0.2703785818
897	0.2700961643
898	0.2697136393
899	0.2693248093
900	0.2690245088
901	0.268746766
902	0.2685262454
903	0.268060671
904	0.2677867235
905	0.2674498097
906	0.2673006567
907	0.2667913042
908	0.2665085564
909	0.266280808
910	0.2657948297
911	0.2654829994
912	0.2653691176
913	0.2651735224
914	0.2649130706
915	0.2644069442
916	0.264080203
917	0.2638547582
918	0.2635937188
919	0.2633356117
920	0.2628146747
921	0.2625407365
922	0.2622671928
923	0.2619620252
924	0.2617518593
925	0.2614930527
926	0.2610232065
927	0.2608309503
928	0.260117348
929	0.2597903246
930	0.2595952447
931	0.2593615833
932	0.2591450626
933	0.2584811738
934	0.2581152396
935	0.2578883188
936	0.2577046981
937	0.2573162668
938	0.256923668
939	0.2567361448
940	0.2565410826
941	0.2563352098
942	0.2559554153
943	0.2555121088
944	0.2552275493
945	0.2548466697
946	0.2544923883
947	0.2543229888
948	0.2540300128
949	0.253718112
950	0.2533280017
951	0.2531552255
952	0.2529419866
953	0.2527266624
954	0.2522542419
955	0.2519693715
956	0.2516841411
957	0.2511681954
958	0.2508855636
959	0.2503485075
960	0.2501417728
961	0.2497694777
962	0.2493139966
963	0.2491377331
964	0.2487595322
965	0.2485582457
966	0.2482894241
967	0.2478807994
968	0.2476722531
969	0.2474399517
970	0.2469265383
971	0.24670017
972	0.2462925732
973	0.2459377034
974	0.2457330486
975	0.2454228533
976	0.2452525114
977	0.2450147936
978	0.2448525082
979	0.244526094
980	0.2442957241
981	0.2441165239
982	0.2438883601
983	0.243370043
984	0.2430642478
985	0.2427675555
986	0.2423265184
987	0.2419023302
988	0.2415945882
989	0.2412757685
990	0.2410825463
991	0.2408638512
992	0.2405576917
993	0.2403808928
994	0.2402655426
995	0.2400380836
996	0.2397140451
997	0.2394820259
998	0.2392905894
999	0.2390657378
	0.245233826
999	0.2449023733
